IP	MAC	HostName	CPU	RAM Size	Share File	SystemVer	NetCard Type	NetCard Vendor
161.200.145.74	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.75	00:21:70:66:59:76	-	-	-		-	-	Dell Inc
161.200.145.75	00:1D:50:00:3F:C6	-	-	-		-	-	SPINETIX SA
161.200.144.76	00:21:70:66:57:82	-	-	-		-	-	Dell Inc
161.200.145.76	00:1D:50:00:43:4D	-	-	-		-	-	SPINETIX SA
161.200.145.77	00:1D:50:00:45:F3	-	-	-		-	-	SPINETIX SA
161.200.144.78	18:03:73:4D:25:97	CAR_CDA5506	-	-		-	-	Dell Inc
161.200.144.79	00:21:70:66:39:8F	-	-	-		-	-	Dell Inc
161.200.145.79	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.80	00:1D:50:00:43:69	-	-	-		-	-	SPINETIX SA
161.200.144.81	00:21:70:66:59:5C	-	-	-		-	-	Dell Inc
161.200.145.81	00:1D:50:00:3F:C7	-	-	-		-	-	SPINETIX SA
161.200.144.82	00:21:70:66:30:C8	-	-	-		-	-	Dell Inc
161.200.145.82	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.83	98:90:96:BC:3A:80	CDL581553	-	-		-	-	
161.200.145.83	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.84	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.85	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.86	78:E3:B5:99:CD:4A	CDL5408	-	-		-	-	Hewlett-Packard Company
161.200.145.86	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.87	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.88	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.89	98:90:96:BC:3A:6A	CDL581555	-	-		-	-	
161.200.145.89	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.90	6C:3B:E5:28:3B:F5	-	-	-		-	-	Hewlett Packard
161.200.145.90	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.91	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.92	00:21:70:66:59:79	-	-	-		-	-	Dell Inc
161.200.145.92	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.93	00:1A:4B:3D:CA:D2	IIC5017	-	-		-	-	Hewlett-Packard Company
161.200.145.93	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.94	00:1E:4F:56:6C:30	50FIN1	-	-		-	-	Dell Inc.
161.200.145.94	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.95	78:E3:B5:99:D6:31	ADM5401	-	-		-	-	Hewlett-Packard Company
161.200.145.95	00:26:B9:2B:D3:B9	VDO2	-	-		-	-	Dell Inc
161.200.145.96	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.97	88:51:FB:3F:28:1F	-	-	-		-	-	Hewlett Packard
161.200.145.97	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.98	18:03:73:4D:2D:00	55_CIR01	-	-		-	-	Dell Inc
161.200.145.98	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.99	6C:62:6D:55:B2:31	CAR_CAT004	-	-		-	-	Micro-Star INT'L CO., LTD
161.200.145.99	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.100	36:66:31:37:36:66	-	-	-		-	-	
161.200.145.101	36:36:66:39:35:62	-	-	-		-	-	
161.200.145.102	62:35:36:39:31:61	-	-	-		-	-	
161.200.145.103	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.104	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.105	B0:83:FE:6D:21:F2	OPAC5819	-	-		-	-	
161.200.145.105	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.106	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.107	6C:62:6D:55:AF:D7	CAR_CMD4853	-	-		-	-	Micro-Star INT'L CO., LTD
161.200.145.107	62:37:61:62:32:64	-	-	-		-	-	
161.200.145.108	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.109	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.110	40:A8:F0:43:5B:D6	IRM5786	-	-		-	-	
161.200.145.110	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.111	64:00:6A:7B:30:51	CDA591616	-	-		-	-	
161.200.145.111	00:1A:4B:31:78:E0	NPI3178E0	-	-		-	-	Hewlett-Packard Company
161.200.144.112	B0:83:FE:6D:22:1A	-	-	-		-	-	
161.200.145.112	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.113	08:00:37:BC:5D:64	FXBC5D64	-	-		-	-	FUJI-XEROX CO. LTD.
161.200.144.114	00:26:55:41:BC:4B	-	-	-		-	-	Hewlett-Packard Company
161.200.145.114	08:00:37:92:9A:52	FX929A52	-	-		-	-	FUJI-XEROX CO. LTD.
161.200.144.115	00:26:55:41:BF:67	-	-	-		-	-	Hewlett-Packard Company
161.200.145.115	00:00:00:00:00:00	NPI84CC30	-	-		-	-	XEROX CORPORATION
161.200.144.116	98:90:96:BC:3A:45	CDA581537	-	-		-	-	
161.200.145.116	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.117	98:90:96:BC:2F:0A	IRM581538	-	-		-	-	
161.200.145.117	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.118	98:90:96:BC:36:46	CMD581545	-	-		-	-	
161.200.145.118	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.119	78:E3:B5:99:CC:FD	WORKGROUP	-	-		-	-	Hewlett-Packard Company
161.200.145.119	00:00:00:00:00:00	NPI747248	-	-		-	-	XEROX CORPORATION
161.200.144.120	6C:3B:E5:31:CF:69	-	-	-		-	-	Hewlett Packard
161.200.145.120	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.121	00:1E:4F:49:B3:F7	-	-	-		-	-	Dell Inc.
161.200.145.121	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.122	18:03:73:4C:77:3C	CIR55250	-	-		-	-	Dell Inc
161.200.145.122	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.123	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.123	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.124	78:E3:B5:99:CD:4C	TIC5409	-	-		-	-	Hewlett-Packard Company
161.200.145.124	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.125	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.125	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.126	18:03:73:4D:28:F2	-	-	-		-	-	Dell Inc
161.200.145.126	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.127	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.127	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.128	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.128	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.129	6C:62:6D:55:AD:B7	TIC5352	-	-		-	-	Micro-Star INT'L CO., LTD
161.200.145.129	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.130	98:90:96:BC:32:E2	ILR581540	-	-		-	-	
161.200.145.130	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.131	18:03:73:4D:2B:FF	-	-	-		-	-	Dell Inc
161.200.145.131	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.132	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.132	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.133	78:E3:B5:99:CB:CF	CDA5401	-	-		-	-	Hewlett-Packard Company
161.200.145.133	30:CD:A7:14:60:BB	SEC30CDA71460BB	-	-		-	-	Samsung Electronics ITS, Printer division
161.200.144.134	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.134	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.135	B0:83:FE:97:C6:D1	OPAC581511	-	-		-	-	
161.200.145.135	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.136	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.136	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.137	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.137	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.138	6C:62:6D:55:AD:E8	-	-	-		-	-	Micro-Star INT'L CO., LTD
161.200.145.138	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.139	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.139	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.140	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.140	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.141	18:03:73:4D:28:34	ILR1255	-	-		-	-	Dell Inc
161.200.145.141	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.142	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.142	F4:CE:46:48:B4:3A	NPI48B43A	-	-		-	-	Hewlett-Packard Company
161.200.144.143	6C:62:6D:55:B0:0E	CAR_CIR16	-	-		-	-	Micro-Star INT'L CO., LTD
161.200.145.143	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.144	40:6C:8F:19:AC:41	-	-	-		-	-	Apple, Inc.
161.200.145.144	9C:B6:54:1B:B4:0E	NPI1BB40E	-	-		-	-	
161.200.144.145	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.145	00:0C:29:D4:D1:AC	-	-	-		-	-	VMware, Inc.
161.200.144.146	A4:BA:DB:FD:ED:82	WORKGROUP	-	-		-	-	Dell Inc.
161.200.145.146	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.147	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.147	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.148	44:87:FC:A2:AD:44	-	-	-		-	-	ELITEGROUP COMPUTER SYSTEM CO., LTD.
161.200.145.148	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.149	D8:CB:8A:7F:18:E5	DESKTOP-DDK4USE	-	-		-	-	
161.200.145.149	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.150	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.150	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.151	A4:1F:72:79:43:0A	ARTS_	-	-		-	-	Dell Inc.
161.200.145.151	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.152	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.152	00:00:00:00:00:00	__MSBROWSE__	-	-		-	-	XEROX CORPORATION
161.200.144.153	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.153	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.154	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.154	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.155	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.155	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.156	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.156	02:49:BE:A7:B6:F8	-	-	-		-	-	
161.200.144.157	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.157	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.158	B0:83:FE:6D:1E:FC	ILR581571	-	-		-	-	
161.200.145.158	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.159	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.159	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.160	00:13:72:92:48:3B	-	-	-		-	-	Dell ESG PCBA Test
161.200.145.160	00:02:65:14:C1:A8	-	-	-		-	-	Virditech Co. Ltd.
161.200.144.161	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.161	00:02:65:14:C1:A6	-	-	-		-	-	Virditech Co. Ltd.
161.200.144.162	00:21:70:66:51:0F	-	-	-		-	-	Dell Inc
161.200.145.162	00:02:65:14:C2:1C	-	-	-		-	-	Virditech Co. Ltd.
161.200.144.163	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
